Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
47,Hanno Behrens,de GER,MF,Nürnberg,28,1990,30,30,2639,29.3,4,1,5,2,2,4,3,0,7.9,4.8,1.5,6.2,25,78,54,0.14,0.03,0.17,0.07,0.10,0.27,0.05,0.32,0.16,0.21,Matches,77b41ac0
48,Ishak Belfodil,dz ALG,FWMF,Hoffenheim,26,1992,28,20,1863,20.7,16,3,19,16,0,0,3,0,12.3,12.3,5.1,17.4,63,30,210,0.77,0.14,0.92,0.77,0.92,0.59,0.25,0.84,0.59,0.84,Matches,ff182fdc
49,Stefan Bell,de GER,DF,Mainz 05,26,1991,25,25,2250,25.0,0,0,0,0,0,0,7,0,1.6,1.6,1.2,2.8,24,129,8,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches,857a5abe
50,Karim Bellarabi,de GER,FW,Leverkusen,28,1990,19,14,1057,11.7,5,4,9,5,0,0,4,1,3.3,3.3,5.1,8.4,49,46,140,0.43,0.34,0.77,0.43,0.77,0.28,0.43,0.71,0.28,0.71,Matches,bee0bab1
51,Lars Bender,de GER,MFDF,Leverkusen,29,1989,20,18,1361,15.1,1,4,5,1,0,0,2,0,1.1,1.1,1.3,2.5,16,95,65,0.07,0.26,0.33,0.07,0.33,0.07,0.09,0.16,0.07,0.16,Matches,c50281a0
52,Sven Bender,de GER,DF,Leverkusen,29,1989,27,25,1991,22.1,0,0,0,0,0,0,3,0,0.9,0.9,0.2,1.1,12,94,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,070ec0b1
53,László Bénes,sk SVK,MFFW,M'Gladbach,20,1997,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fe888e39
54,Nabil Bentaleb,dz ALG,MF,Schalke 04,23,1994,25,19,1792,19.9,3,0,3,0,3,3,4,0,3.5,1.1,0.9,2.0,42,101,39,0.15,0.00,0.15,0.00,0.00,0.18,0.05,0.22,0.06,0.10,Matches,3189f61a
55,Jordan Beyer,de GER,DF,M'Gladbach,18,2000,9,8,720,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,10,31,13,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches,9af1f9ff
56,Ermin Bi?ak?i?,ba BIH,DF,Hoffenheim,28,1990,25,20,1790,19.9,1,2,3,1,0,0,0,0,1.5,1.5,0.7,2.2,47,133,4,0.05,0.10,0.15,0.05,0.15,0.07,0.03,0.11,0.07,0.11,Matches,7aac47fe
57,Leonardo Bittencourt,de GER,MF,Hoffenheim,24,1993,21,13,1069,11.9,1,3,4,1,0,0,1,0,2.6,2.6,2.8,5.4,48,53,66,0.08,0.25,0.34,0.08,0.34,0.22,0.24,0.46,0.22,0.46,Matches,dc62fbee
58,Pablo de Blasis,ar ARG,FW,Mainz 05,30,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,9ab48bde
59,Danny Blum,de GER,MF,Eint Frankfurt,27,1991,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,eb61713c
60,Jérôme Boateng,de GER,DF,Bayern Munich,29,1988,20,19,1693,18.8,0,2,2,0,0,0,1,0,0.6,0.6,1.0,1.7,10,168,2,0.00,0.11,0.11,0.00,0.11,0.03,0.05,0.09,0.03,0.09,Matches,2db2fd7b
61,Adam Bodzek,de GER,MFDF,Düsseldorf,32,1985,21,20,1596,17.7,0,1,1,0,0,0,5,1,0.1,0.1,1.1,1.2,4,57,3,0.00,0.06,0.06,0.00,0.06,0.00,0.06,0.07,0.00,0.07,Matches,bb8a42fa
62,Jean-Paul Boëtius,nl NED,MF,Mainz 05,24,1994,30,25,2127,23.6,4,7,11,4,0,0,8,0,2.6,2.6,4.9,7.5,45,117,126,0.17,0.30,0.47,0.17,0.47,0.11,0.21,0.32,0.11,0.32,Matches,635f2732
63,Robin Bormuth,de GER,DF,Düsseldorf,22,1995,10,6,616,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,19,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d728acae
64,Nassim Boujellab,ma MAR,MF,Schalke 04,19,1999,7,4,378,4.2,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.1,15,16,17,0.00,0.24,0.24,0.00,0.24,0.16,0.11,0.27,0.16,0.27,Matches,541127d5
65,Julian Brandt,de GER,MFFW,Leverkusen,22,1996,33,30,2666,29.6,7,11,18,7,0,0,0,0,8.0,8.0,9.3,17.3,107,198,291,0.24,0.37,0.61,0.24,0.61,0.27,0.31,0.58,0.27,0.58,Matches,a167537f
66,Fabian Bredlow,de GER,GK,Nürnberg,23,1995,13,12,1128,12.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d28339cb
67,Josip Brekalo,hr CRO,FWMF,Wolfsburg,20,1998,25,15,1415,15.7,3,3,6,3,0,0,2,0,2.3,2.3,1.4,3.7,72,78,111,0.19,0.19,0.38,0.19,0.38,0.14,0.09,0.23,0.14,0.23,Matches,d4a2533d
68,Joshua Brenet,nl NED,DF,Hoffenheim,24,1994,14,10,906,10.1,2,1,3,2,0,0,0,0,1.7,1.7,1.9,3.6,31,43,82,0.20,0.10,0.30,0.20,0.30,0.17,0.19,0.36,0.17,0.36,Matches,2b5527c4
69,John Brooks,us USA,DF,Wolfsburg,25,1993,29,29,2610,29.0,3,2,5,3,0,0,7,0,2.6,2.6,0.8,3.4,27,135,3,0.10,0.07,0.17,0.10,0.17,0.09,0.03,0.12,0.09,0.12,Matches,e27da244
70,Daniel Brosinski,de GER,DF,Mainz 05,30,1988,26,26,2203,24.5,3,5,8,0,3,3,2,0,3.1,0.7,4.1,4.9,47,98,112,0.12,0.20,0.33,0.00,0.20,0.13,0.17,0.30,0.03,0.20,Matches,a7813ac4
71,Bruma,pt POR,MF,RB Leipzig,23,1994,14,6,553,6.1,1,1,2,1,0,1,1,0,1.5,0.7,1.3,2.0,26,35,43,0.16,0.16,0.33,0.16,0.33,0.24,0.22,0.46,0.11,0.33,Matches,5caa62a7
72,Jeffrey Bruma,nl NED,DF,Schalke 04,26,1991,9,7,624,6.9,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,7,34,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,fbffc4b1
73,Jacob Bruun Larsen,dk DEN,FW,Dortmund,19,1998,24,16,1265,14.1,2,2,4,2,0,0,0,0,3.3,3.3,3.5,6.9,38,39,138,0.14,0.14,0.28,0.14,0.28,0.24,0.25,0.49,0.24,0.49,Matches,4e204552
74,Niko Bungert,de GER,DF,Mainz 05,31,1986,7,3,284,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,0e0ab524
75,Guido Burgstaller,at AUT,FW,Schalke 04,29,1989,24,17,1526,17.0,4,0,4,4,0,0,4,0,5.9,5.9,1.4,7.2,23,22,111,0.24,0.00,0.24,0.24,0.24,0.35,0.08,0.43,0.35,0.43,Matches,2bcc6d52
76,Jonathan Burkardt,de GER,FWMF,Mainz 05,18,2000,4,4,259,2.9,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.4,3,5,17,0.00,0.00,0.00,0.00,0.00,0.28,0.19,0.47,0.28,0.47,Matches,05f99a4a
