Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
208,Fábio,br BRA,DF,Nantes,30,1990,22,19,1507,16.7,0,1,1,0,0,0,5,1,0.3,0.3,0.5,0.8,24,71,59,0.00,0.06,0.06,0.00,0.06,0.02,0.03,0.05,0.02,0.05,Matches,bc7b4580
209,Cesc Fàbregas,es ESP,MFFW,Monaco,33,1987,21,7,877,9.7,2,3,5,0,2,2,2,0,3.2,1.6,3.3,4.9,10,115,48,0.21,0.31,0.51,0.00,0.31,0.33,0.34,0.67,0.16,0.51,Matches,33508c78
210,Bandiougou Fadiga,fr FRA,FWMF,Paris S-G,19,2001,6,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,45bb4303
211,Bandiougou Fadiga,fr FRA,MFFW,Brest,19,2001,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,45bb4303
212,Wout Faes,be BEL,DF,Reims,22,1998,33,33,2899,32.2,1,0,1,1,0,0,13,2,1.2,1.2,0.1,1.3,22,86,2,0.03,0.00,0.03,0.03,0.03,0.04,0.00,0.04,0.04,0.04,Matches,9c221d14
213,Romain Faivre,fr FRA,MFFW,Brest,22,1998,36,33,2891,32.1,6,5,11,5,1,1,0,0,6.2,5.4,7.2,12.7,141,171,166,0.19,0.16,0.34,0.16,0.31,0.19,0.23,0.42,0.17,0.39,Matches,745ca0a3
214,Wuilker Faríñez,ve VEN,GK,Lens,22,1998,3,1,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2c127b6f
215,Noah Fatar,fr FRA,FWMF,Angers,18,2002,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2693f6bc
216,Julien Faussurier,fr FRA,DF,Brest,33,1987,17,9,955,10.6,0,3,3,0,0,0,2,0,0.4,0.4,2.2,2.6,28,56,63,0.00,0.28,0.28,0.00,0.28,0.04,0.21,0.24,0.04,0.24,Matches,767212e6
217,Zinedine Ferhat,dz ALG,FWMF,Nîmes,27,1993,33,33,2957,32.9,6,10,16,5,1,1,2,0,5.9,5.1,6.5,11.6,92,121,266,0.18,0.30,0.49,0.15,0.46,0.18,0.20,0.38,0.15,0.35,Matches,005c0807
218,Jordan Ferri,fr FRA,MF,Montpellier,28,1992,34,31,2577,28.6,0,3,3,0,0,0,6,0,0.1,0.1,1.7,1.9,36,192,41,0.00,0.10,0.10,0.00,0.10,0.00,0.06,0.06,0.00,0.06,Matches,375622c5
