Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
186,Ben Hamer,eng ENG,GK,Huddersfield,30,1987,7,7,552,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d822a850
187,Kadeem Harris,eng ENG,MF,Cardiff City,25,1993,13,3,375,4.2,1,0,1,1,0,0,1,0,0.5,0.5,0.4,1.0,15,5,34,0.24,0.00,0.24,0.24,0.24,0.13,0.11,0.23,0.13,0.23,Matches,24396398
188,Joe Hart,eng ENG,GK,Burnley,31,1987,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cb4f24c6
189,Isaac Hayden,eng ENG,MF,Newcastle Utd,23,1995,25,21,1859,20.7,1,4,5,1,0,0,3,1,0.9,0.9,2.3,3.2,10,54,38,0.05,0.19,0.24,0.05,0.24,0.05,0.11,0.16,0.05,0.16,Matches,c951a6df
190,Eden Hazard,be BEL,FW,Chelsea,27,1991,37,32,2923,32.5,16,15,31,12,4,4,2,0,10.5,7.4,10.0,17.4,276,249,439,0.49,0.46,0.95,0.37,0.83,0.32,0.31,0.63,0.23,0.53,Matches,a39bb753
191,Rhys Healey,wls WAL,FW,Cardiff City,23,1994,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,0,7,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.25,0.07,0.25,Matches,07ace8c3
192,Tom Heaton,eng ENG,GK,Burnley,32,1986,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a6de6361
193,Jordan Henderson,eng ENG,MF,Liverpool,28,1990,32,21,1987,22.1,1,3,4,1,0,0,2,1,1.5,1.5,1.8,3.2,36,160,59,0.05,0.14,0.18,0.05,0.18,0.07,0.08,0.15,0.07,0.15,Matches,935e6b8f
194,Jeff Hendrick,ie IRL,MFFW,Burnley,26,1992,32,25,2063,22.9,3,0,3,3,0,0,4,0,1.8,1.8,0.8,2.7,18,63,78,0.13,0.00,0.13,0.13,0.13,0.08,0.04,0.12,0.08,0.12,Matches,989d5705
195,Wayne Hennessey,wls WAL,GK,Crystal Palace,31,1987,18,17,1576,17.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,76eca7e2
