Round,Wk,Day,Date,Time,Home,xG,Score,xG_1,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 16,,Tue,7/3/2018,17:00 (08:00),Sweden se,1.3,1–0,0.7,ch Switzerland,64042,Gazprom Arena (Neutral Site),Damir Skomina,Match Report,
Round of 16,,Tue,7/3/2018,21:00 (12:00),Colombia co,0.6,(3) 1–1 (4),2.1,eng England,44190,Otkrytie Arena (Neutral Site),Mark Geiger,Match Report,England won on penalty kicks following extra time
Quarter-finals,,Fri,7/6/2018,17:00 (08:00),Uruguay uy,0.9,0–2,0.5,fr France,43319,Stadion Nizhny Novgorod (Neutral Site),Néstor Pitana,Match Report,
Quarter-finals,,Fri,7/6/2018,21:00 (12:00),Brazil br,2.8,1–2,0.5,be Belgium,42873,Kazan Arena (Neutral Site),Milorad Maži?,Match Report,
Quarter-finals,,Sat,7/7/2018,18:00 (08:00),Sweden se,0.5,0–2,1,eng England,39991,Cosmos Arena (Neutral Site),Björn Kuipers,Match Report,
Quarter-finals,,Sat,7/7/2018,21:00 (12:00),Russia ru,1,(3) 2–2 (4),1.7,hr Croatia,44287,Olimpiyskiy Stadion Fisht (Neutral Site),Sandro Ricci,Match Report,Croatia won on penalty kicks following extra time
Semi-finals,,Tue,7/10/2018,21:00 (12:00),France fr,1.7,1–0,0.4,be Belgium,64286,Gazprom Arena (Neutral Site),Andrés Cunha,Match Report,
Semi-finals,,Wed,7/11/2018,21:00 (12:00),Croatia hr,1.7,2–1,0.6,eng England,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Cüneyt Çak?r,Match Report,Required Extra Time
Third-place match,,Sat,7/14/2018,17:00 (08:00),Belgium be,1.5,2–0,1,eng England,64406,Gazprom Arena (Neutral Site),Alireza Faghani,Match Report,
Final,,Sun,7/15/2018,18:00 (09:00),France fr,1.1,4–2,1.1,hr Croatia,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Néstor Pitana,Match Report,
